PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;CURRENT_CATALOG_NAME;NORMALIZED_DIRECTION;CATALOG_MATCH_STATUS;GOODS_PRESENT;SECTION_NAME;PARENT_SECTION;COST_PRICE;COEFFICIENT;OFFER_ROWS;OFFER_DEALS;OFFER_QTY_LADDER;ORDER_ROWS;ORDER_DEALS;TOTAL_ORDER_QTY;CURRENT_BASE_PRICE;ORDER_PRICE_P25;ORDER_PRICE_P50;ORDER_PRICE_P75;ORDER_QTY_P25;ORDER_QTY_P50;ORDER_QTY_P75;PRICE_RATIO_P25;PRICE_RATIO_P50;PRICE_RATIO_P75;PRICE_RATIO_MIN;PRICE_RATIO_MAX;PRICE_RATIO_RANGE;PRICE_MODE;CONFIDENCE_TIER;MANUAL_REVIEW_REASON
13612;13612;Почасовая работа с дизайнером - художником 1 час;Почасовая работа с дизайнером - художником 1 час;Дизайн;catalog;Y;Почасовая работа;Дизайн;500;0.06;8;4;1;1095;1056;1712.67;1000;1000;1000;1000;0.5;1;1.8;1;1;1;0.09;1.5;1.41;manual;low;high_price_variance
13818;13818;Безнал 10%;Безнал 10%;Безнал;catalog;Y;;;60;;0;0;;932;868;32857.32;100;100;100;100;9.1;17.92;36.88;1;1;1;0;210;210;manual;low;financial_modifier
13614;13614;Почасовая работа с дизайнером рекламы 1 час;Почасовая работа с дизайнером рекламы 1 час;Дизайн;catalog;Y;Почасовая работа;Дизайн;1000;0.06;0;0;;723;625;1144.96;2000;1500;1500;1500;0.9;1;2;0.75;0.75;0.75;0.25;1.05;0.8;manual;low;high_price_variance
7352;7352;Подготовка макета к производству за 1 макет;Подготовка макета к производству за 1 макет;Дизайн;catalog;Y;Дизайн;;250;0.06;0;0;;701;688;1110.86;500;500;500;500;1;1;2;1;1;1;0.69;1.3;0.61;manual;low;high_price_variance
8162;8162;Баннер на билборд 6х3 монтаж 18 кв.м;Баннер на билборд 6х3 монтаж 18 кв.м;Монтажники;catalog;Y;Щит;Баннер;1600;0.1;0;0;;701;675;1522.3;2080;1300;1690;1690;1;2;3;0.625;0.8125;0.8125;0.4577;1.1971;0.7394;manual;low;high_price_variance
8166;8166;Баннер на билборд 6х3 демонтаж 18 кв.м;Баннер на билборд 6х3 демонтаж 18 кв.м;Монтажники;catalog;Y;Щит;Баннер;500;0.1;0;0;;674;654;1463.82;650;390;650;650;1;1.91;3;0.6;1;1;0.5077;1.05;0.5423;manual;low;high_price_variance
11504;11504;Баннер на билборд 6х3 печать 18 кв.м;Баннер на билборд 6х3 печать 18 кв.м;Сольвент;catalog;Y;Билборд;Баннер;2400;0.1;0;0;;672;653;1329.58;3120;2990;2990;3120;1;1.057;2;0.9583;0.9583;1;0.9167;4.4872;3.5705;manual;low;high_price_variance
6288;6288;Винил/Баннер интерьерная печать 1 кв.м;Винил/Баннер интерьерная печать 1 кв.м;Сольвент;catalog;Y;Сольвент;Самоклейка;550;0.11;98;98;1|1.5|2.5;499;491;604.81;990;576;665;700;1;1;1;0.5818;0.6717;0.7071;0;1.9091;1.9091;manual;low;high_price_variance
8608;8608;Оракал 641 цветная до 1 кв.м;Оракал 641 цветная до 1 кв.м;Цех;catalog;Y;Оракал 641 цветная;Пленки;400;0.11;92;92;0.06|0.068|0.08|0.1|0.12|0.13|0.135|0.14;374;345;145.97;720;621;720;774;0.1162;0.265;0.5;0.8625;1;1.075;0.5067;1.3458;0.8391;manual;low;high_price_variance
5350;5350;НЕВИЯ бум. визитки 250 гр. 1 шт Печатная;НЕВИЯ бум. визитки 250 гр. 1 шт Печатная;Печатная;catalog;Y;Бумага;Визитки;0.49;0.04;12;12;240|500|1000|2000;330;322;176626;0.73;0.64;1.02;1.28;240;300;500;0.8767;1.3973;1.7534;0.5753;4109.589;4109.0137;manual;low;high_price_variance
4516;4516;А4 Печать 4+0 5-40 шт Печатная;А4 Печать 4+0 5-40 шт Печатная;Печатная;catalog;Y;Печать;А4;7.82;0.07;22;22;20|40|50;297;290;5101.5;26.52;16.3025;21.76;26.52;6.75;14;24.25;0.6147;0.8205;1;0.2617;1.3744;1.1127;manual;low;high_price_variance
6290;6290;Винил/Баннер интерьерная печать 1-3 кв.м;Винил/Баннер интерьерная печать 1-3 кв.м;Сольвент;catalog;Y;Сольвент;Самоклейка;550;0.09;30;30;1.2|1.4|1.6|2|2.9|3|3.2;288;281;542.14;935;544;595;665;1.3475;1.8;2.21;0.5818;0.6364;0.7112;0.4418;1.9091;1.4673;manual;low;high_price_variance
7258;7258;Печать самоклеящейся бумаги без резки лист 30х45 2-20 шт Печатная;Печать самоклеящейся бумаги без резки лист 30х45 2-20 шт Печатная;Печатная;catalog;Y;Печать;Стикеры;42.86;0.11;17;17;8|10|12|15|16|17|18|20;263;257;2138.5;83.87;64.44;77.5;84.93;3.25;6;11;0.7683;0.924;1.0126;0.3842;1.4891;1.1049;manual;low;high_price_variance
6276;6276;Винил стандартная печать 1 кв.м;Винил стандартная печать 1 кв.м;Сольвент;catalog;Y;Сольвент;Самоклейка;380;0.11;4;4;1;250;248;262.12;684;540;630;684;1;1;1;0.7895;0.9211;1;0.575;1.0556;0.4806;guided;medium;requires_context_lookup
10404;10404;Наложение макета на Простой мокап 1 изображение;Наложение макета на Простой мокап 1 изображение;Дизайн;catalog;Y;Мокапы;Дизайн;125;0.06;0;0;;241;199;2896.9;250;100;200;200;4;8;14;0.4;0.8;0.8;0.4;1.05;0.65;manual;low;high_price_variance
6448;6448;Аппликация прорезка 10-30 мп Печатная;Аппликация прорезка 10-30 мп Печатная;Печатная;catalog;Y;Аппликация;Самоклейка;10;0.07;73;73;12.3|14|15|20|21|22.1|24.2|25;237;230;4368.88;26;12.72;18.2;26;12;17;22;0.4893;0.7;1;0.3692;8.8462;8.477;manual;low;high_price_variance
10764;10764;Макет баннера информационного Простой 1 решение;Макет баннера информационного Простой 1 решение;Дизайн;catalog;Y;Баннеры;Дизайн;1000;0.06;1;1;1;236;208;344.85;2000;1000;1000;1000;1;1;1.5;0.5;0.5;0.5;0.125;1.9125;1.7875;manual;low;high_price_variance
7862;7862;Хайкот А3 бум. 105 гр. 1 шт Печатная;Хайкот А3 бум. 105 гр. 1 шт Печатная;Печатная;catalog;Y;Бумага;А3;2.14;0.04;50;50;5|10|15|20|25|30|40|50;236;72;26745;3.2;3.48;4;4.16;42;70;140;1.0875;1.25;1.3;0.8313;1.3844;0.5531;manual;low;high_price_variance
7980;7980;Баннер печать интерьерный 440гр 1-5 кв.м;Баннер печать интерьерный 440гр 1-5 кв.м;Сольвент;catalog;Y;Печать;Баннер;450;0.09;5;5;2|2.4|3|7.2;235;227;581.45;990;450;504;700;1.7;2;3;0.4545;0.5091;0.7071;0.2091;1.05;0.8409;manual;low;high_price_variance
8596;8596;Оракал 641 белая/прозрачная до 1 кв.м;Оракал 641 белая/прозрачная до 1 кв.м;Цех;catalog;Y;Оракал 641 белая/прозрачная;Пленки;300;0.11;69;69;0.06|0.07|0.12|0.135|0.18|0.225|0.23|0.24;233;228;91.92;540;540;570;630;0.12;0.25;0.5;1;1.0556;1.1667;0.6611;1.7444;1.0833;manual;low;high_price_variance
8164;8164;Баннер на билборд 4х3 демонтаж 12 кв.м;Баннер на билборд 4х3 демонтаж 12 кв.м;Монтажники;catalog;Y;Щит;Баннер;500;0.1;0;0;;223;219;366.54;650;420;650;650;1;1;2;0.6462;1;1;0.5077;1;0.4923;guided;medium;requires_context_lookup
8668;8668;Монтажная пленка с подложкой до 1 кв.м;Монтажная пленка с подложкой до 1 кв.м;Цех;catalog;Y;Монтажная пленка с подложкой;Пленки;390;0.11;0;0;;222;216;98.94;702;532;666;702;0.15;0.4;0.64;0.7578;0.9487;1;0.5115;1.0541;0.5426;manual;low;high_price_variance
