DIRECTION;DEAL_COUNT;MEDIAN_VALUE;AVG_VALUE;CORE_PRODUCTS;OPTIONAL_PRODUCTS;MATERIALS;CROSS_DIRECTIONS
Печатная;2730;3350;7844;"Автоматическая контурная прорезка любой формы на листе 30х45 [15% сделок, 2% стоимости]; А4 Печать 4+0 Печатная [11% сделок, 2% стоимости]; Почасовая работа с дизайнером - художником 1 час [11% сделок, 2% стоимости]; А4 Печать 4+4 Печатная [9% сделок, 3% стоимости]; Печать самоклеящейся бумаги без резки лист 30х45 Печатная [9% сделок, 2% стоимости]; А4 Печать 4+0 [8% сделок, 1% стоимости]; А3 Печать 4+0 1-3 дня Печатная [7% сделок, 3% стоимости]; Ручная резка стикеров на гильотине только квадратные и прямо [7% сделок, 1% стоимости]; Почасовая работа с дизайнером рекламы 1 час [7% сделок, 2% стоимости]; Подготовка макета к производству за 1 макет [7% сделок, 1% стоимости]; Печать самоклеящейся бумаги без резки лист 30х45 [6% сделок, 1% стоимости]; А4 Печать 4+4 [6% сделок, 2% стоимости]; А3 Печать 4+0 1-3 дня [5% сделок, 1% стоимости]";"А3 Печать 4+4 1-3 дня Печатная [4% сделок]; Визитки Печать 4+4 1-3 дня 240 Печатная [4% сделок]";Винил (9%), Металл (9%), Баннер (5%), Пленка (2%), Магнит (1%), ПВХ (1%), Композит (1%), Акрил (0%), Дерево/МДФ (0%), Стекло (0%), Алюминий (0%);Дизайн (45%), Сольвент (11%), Цех (9%), Безнал (4%), POS (3%)
Цех;1791;8525;26204;"Аппликация прорезка Печатная [18% сделок, 0% стоимости]; Аппликация прорезка [12% сделок, 0% стоимости]; Почасовая работа с дизайнером - художником 1 час [11% сделок, 1% стоимости]; Подготовка макета к производству за 1 макет [7% сделок, 0% стоимости]; Оракал 641 цветная до 1 м² [7% сделок, 0% стоимости]; Оракал 641 цветная до 1 кв.м [7% сделок, 0% стоимости]; Винил интерьерная печать [7% сделок, 1% стоимости]; Монтажная пленка с подложкой до 1 м² [6% сделок, 0% стоимости]; Винил интерьерная печать 1 м² [6% сделок, 0% стоимости]; Оракал 641 белая/прозрачная до 1 м² [5% сделок, 0% стоимости]; Труба профильная 20х20 1,5 мм металлическая [5% сделок, 0% стоимости]; Почасовая работа с дизайнером рекламы 1 час [5% сделок, 0% стоимости]; Резка листового материала ЧПУ [5% сделок, 0% стоимости]; ORACAL 641 цветная до 1 м² [5% сделок, 0% стоимости]; Баннер печать интерьерный 440гр [5% сделок, 0% стоимости]";;Пленка (40%), Винил (34%), Баннер (31%), ПВХ (28%), Композит (14%), Акрил (12%), Металл (10%), Дерево/МДФ (3%), Стекло (3%), Неон (1%), LED (1%), Магнит (0%), Алюминий (0%), Пенопласт (0%);Сольвент (54%), Дизайн (42%), Печатная (38%), Безнал (15%), Резка (11%)
Дизайн;1412;7080;14009;"Почасовая работа с дизайнером - художником 1 час [17% сделок, 2% стоимости]; Наложение макета на Простой мокап 1 изображение [15% сделок, 2% стоимости]; Подбор мокапа со стоков 2 решения [14% сделок, 1% стоимости]; Подготовка макета к производству за 1 макет [13% сделок, 1% стоимости]; Доработка мокапа простая 1 решение [12% сделок, 2% стоимости]; Почасовая работа с дизайнером рекламы 1 час [9% сделок, 2% стоимости]; Мобильная съемка Простая 1 час [6% сделок, 5% стоимости]";"Винил интерьерная печать 1 м² [4% сделок]; Винил интерьерная печать [4% сделок]; Видеомонтаж от 10 сек до 1 мин 1 ролик [4% сделок]; Баннер печать интерьерный 440гр [4% сделок]; Аудиомонтаж Простой 1 мин [4% сделок]; Наложение макета на Мокап средней сложности 1 изображение [4% сделок]; Подбор фона 2 решения [4% сделок]; Фотомонтаж Простой 1 объект [4% сделок]";Баннер (25%), Винил (21%), Пленка (2%), ПВХ (1%), Акрил (1%), Магнит (1%), Металл (1%), Дерево/МДФ (0%), Стекло (0%), Композит (0%), Алюминий (0%);Сольвент (34%), Цех (13%), Печатная (9%), POS (4%), Офсет (3%)
РИК;1353;47500;76399;;"Махачкала Гамидова 61 третий ТЦ Этажи Сторона А 42.95711, 47 [4% сделок]; Каспийск Амет-Хана Султана 13А второй Мейджик транс Сторона  [3% сделок]; Каспийск Ленина 6 второй Гемотест Сторона А 42.88486, 47.645 [3% сделок]; Махачкала Ярагского 102 Каток Сторона Б 42.96349, 47.49772 [3% сделок]; Махачкала Гамидова 75 цветочный магазин ""Шантель"" Сторона Б  [3% сделок]; Каспийск Ильяшенко-Ленина 52 Аптека Шах Сторона А 42.89512,  [3% сделок]; Махачкала Гамидова 42 Ленинская Администрация Сторона Б 42.9 [3% сделок]; Махачкала Гамидова 77А Акаева перекресток Сторона А 42.95279 [3% сделок]; Махачкала Ярагского 47 Остановка Ирчи Казака Сторона Б4 42.9 [3% сделок]; Махачкала Ярагского 30 ТЦ ""7 континент"" Сторона Б 42.97673,  [2% сделок]; Махачкала Ярагского 47 Остановка Ирчи Казака Сторона А4 42.9 [2% сделок]; Махачкала Ярагского 47 Остановка Ирчи Казака Сторона Б1 42.9 [2% сделок]; Махачкала Ярагского 47 Остановка Ирчи Казака Сторона А1 42.9 [2% сделок]; Каспийск Каспийское шоссе 26 Эйфелева башня Сторона А 42.882 [2% сделок]; Каспийск Хизроева 26 Сторона А 42.89092, 47.62684 [2% сделок]";Магнит (2%);Безнал (1%)
Монтажники;725;10660;14391;"Баннер на билборд 6х3 монтаж 18 м² [50% сделок, 10% стоимости]; Баннер на билборд 6х3 демонтаж 18 м² [49% сделок, 3% стоимости]; Баннер на билборд 6х3 печать 18 м² [46% сделок, 18% стоимости]; Баннер на билборд 6х3 монтаж 18 кв.м [31% сделок, 9% стоимости]; Баннер на билборд 6х3 демонтаж 18 кв.м [30% сделок, 3% стоимости]; Баннер на билборд 6х3 печать 18 кв.м [29% сделок, 14% стоимости]; Баннер на билборд 4х3 демонтаж 12 м² [15% сделок, 1% стоимости]; Баннер на билборд 4х3 монтаж 12 м² [13% сделок, 2% стоимости]; Баннер на билборд 4х3 печать 12 м² [12% сделок, 3% стоимости]; Баннер на билборд 4х3 демонтаж 12 кв.м [12% сделок, 1% стоимости]; Баннер на билборд 4х3 монтаж 12 кв.м [11% сделок, 2% стоимости]; Баннер на билборд 4х3 печать 12 кв.м [9% сделок, 3% стоимости]; Баннер на билборд 4х3 световой монтаж 12 м² [8% сделок, 3% стоимости]; Баннер на световой билборд 4х3 с прошивкой печать 12 м² [7% сделок, 2% стоимости]; Винил на призматрон 6х3 18 м² монтаж 1 шт [5% сделок, 2% стоимости]";;Баннер (97%), Винил (7%), Дерево/МДФ (0%), Пленка (0%), LED (0%);Сольвент (96%), Безнал (26%), Дизайн (11%), Цех (6%), Вышка (1%)
Сольвент;412;4193;8177;"Почасовая работа с дизайнером - художником 1 час [17% сделок, 3% стоимости]; Винил интерьерная печать [16% сделок, 5% стоимости]; Винил интерьерная печать 1 м² [15% сделок, 1% стоимости]; Подготовка макета к производству за 1 макет [11% сделок, 1% стоимости]; Винил стандартная печать 1 кв.м [8% сделок, 1% стоимости]; Баннер печать интерьерный 440гр [8% сделок, 3% стоимости]; Ламинация с накаткой холодная глянцевая [8% сделок, 3% стоимости]; Ламинация с накаткой холодная глянцевая 1 м² [7% сделок, 1% стоимости]; Почасовая работа с дизайнером рекламы 1 час [6% сделок, 2% стоимости]; Баннер печать интерьерный 440гр. [6% сделок, 2% стоимости]; Ламинация с накаткой для интерьерной печати винила холодная  [5% сделок, 1% стоимости]; Винил стандартная печать 1 м² [5% сделок, 0% стоимости]";"дизайн [4% сделок]; Винил/Баннер интерьерная печать 1 кв.м [4% сделок]; Баннер печать интерьерный 440гр 1 м² [4% сделок]";Винил (72%), Баннер (52%), Пленка (8%), ПВХ (5%), Дерево/МДФ (3%), Композит (1%), Металл (1%), Стекло (1%);Дизайн (57%), Цех (37%), Печатная (10%), Монтажники (8%), Безнал (7%)
Безнал;172;9100;15970;"Почасовая работа с дизайнером рекламы 1 час [10% сделок, 1% стоимости]; Почасовая работа с дизайнером - художником 1 час [9% сделок, 1% стоимости]; Баннер печать интерьерный 440гр [9% сделок, 1% стоимости]; Баннер на световой билборд 4х3 с прошивкой печать 12 кв.м [8% сделок, 2% стоимости]; Подготовка макета к производству за 1 макет [6% сделок, 1% стоимости]";"Винил на призматрон 6х3 18 м² монтаж 1 шт [3% сделок]; Баннер на билборд 6х3 печать 18 кв.м [3% сделок]; Ролл-ап стенд 100х200 см 1 шт [3% сделок]; Баннер печать интерьерный 440гр 1-5 кв.м [3% сделок]; Винил на призматрон 6х3 18 м² печать м² [2% сделок]; Винил интерьерная печать 1 м² [2% сделок]; Винил интерьерная печать [2% сделок]; Махачкала Имама Шамиля 48 Советский РОВД Сторона А3 42.97166 [2% сделок]; Макет баннера информационного Простой 1 решение [2% сделок]; Баннер на билборд 6х3 монтаж 18 кв.м [2% сделок]";Баннер (40%), Винил (14%), ПВХ (2%), Акрил (2%), LED (2%), Пленка (1%), Дерево/МДФ (1%), Алюминий (1%), Металл (1%), Композит (1%), Стекло (1%);Сольвент (51%), Дизайн (41%), Цех (34%), Монтажники (13%), POS (9%)
Офсет;35;11840;24086;"Листовка А5 Офсет 115 гр/м мел бумага(4+4/4+0) 5-7 дней 5 00 [29% сделок, 12% стоимости]; Визитки 4+4 Офсет 300 гр/м мел картон 5-7 дней 1000 Офсет он [26% сделок, 2% стоимости]; Подготовка макета к производству за 1 макет [20% сделок, 1% стоимости]; Наклейка бумажная Офсет 90х50 мм(4+0) 5-7 дней 3000 шт [17% сделок, 3% стоимости]; Флаер Офсет ""евро"" 150 гр/кв.м мел бумага(4+4/4+0) 5-7 дней  [14% сделок, 2% стоимости]; Листовка А5 Офсет 115 гр/м мел бумага(4+4/4+0) 5-7 дней 2 00 [14% сделок, 3% стоимости]; Буклет А4 Офсет с 2 фальцами 150 гр/м(4+4) 5-7 дней 1000 шт [11% сделок, 4% стоимости]; Почасовая работа с дизайнером рекламы 1 час [9% сделок, 0% стоимости]; Наклейка бумажная Офсет 90х50 мм 4+0 5-7 дней 3000 шт [9% сделок, 2% стоимости]; Дизайн визитки Средней сложности 1 сторона [6% сделок, 0% стоимости]; Буклет А4 Офсет с 2 фальцами 115 гр/м(4+4) 5-7 дней 5000 шт [6% сделок, 4% стоимости]; Буклет А4 Офсет с 2 фальцами 115 гр/м(4+4) 5-7 дней 2000 шт [6% сделок, 2% стоимости]; Буклет А4 Офсет с 2 фальцами 150 гр/м(4+4) 5-7 дней 2000 шт [6% сделок, 2% стоимости]; Дорхенгер скругленный верх Офсет 94х204 мел. Бумага 170 гр/м [6% сделок, 4% стоимости]; Листовка А5 Офсет 115 гр/м мел бумага(4+4/4+0) 5-7 дней 1 00 [6% сделок, 1% стоимости]";;Винил (9%), Баннер (3%);Дизайн (69%), Безнал (20%), Цех (9%), Сольвент (9%), Печатная (6%)
POS;23;11838;21354;"Почасовая работа с дизайнером рекламы 1 час [13% сделок, 1% стоимости]; Подготовка макета к производству за 1 макет [13% сделок, 1% стоимости]; Ролл-ап стенд 100х200 см 1 шт [9% сделок, 1% стоимости]; Рамка алюминиевая Клик ПК-25 односторонняя для крепления к с [9% сделок, 1% стоимости]; Сберстойка пластиковая односторонняя с гравировкой 15х10 см  [9% сделок, 1% стоимости]; Почасовая работа с дизайнером - художником 1 час [9% сделок, 1% стоимости]; Бейдж царапанный пластик с гравировкой/гравировкой с покрако [9% сделок, 2% стоимости]; Установка носителя на ролл-ап стенд Цех (Курбан) [9% сделок, 1% стоимости]; Баннер печать интерьерный 440гр [9% сделок, 1% стоимости]; Ролл-ап стенд 100х200 см [9% сделок, 1% стоимости]; Ролл-ап стенд 85х200 см [9% сделок, 2% стоимости]; Табличка из царапанного пластика с гравировкой 30х15 см за 1 [9% сделок, 4% стоимости]; УФ печать стикеров на прозрачной пленке с белым цветом 1 кв. [9% сделок, 7% стоимости]; Макет таблички Простая 1 оригинал-макет [9% сделок, 3% стоимости]; УФ печать на прозрачной пленке 10-20 кв.м [9% сделок, 15% стоимости]";;Баннер (22%), Пленка (22%), Винил (17%), Магнит (9%), Акрил (9%), Алюминий (4%), ПВХ (4%);Дизайн (61%), Сольвент (30%), Цех (30%), Печатная (17%), Безнал (4%)
Мерч;13;12400;16571;"Подготовка макета к производству за 1 макет [31% сделок, 2% стоимости]; Тиснение на ежедневнике бесцветное 20 шт [31% сделок, 3% стоимости]; Шоколад с логотипом 10 гр 100 шт [23% сделок, 3% стоимости]; Ежедневник недатированный А5 Мегаполис 20 шт [15% сделок, 11% стоимости]; Ежедневник недатированный А5 Мегаполис Флекс 20 шт [15% сделок, 14% стоимости]; Шоколад бельгийский с логотипом 5 гр 100 шт [15% сделок, 3% стоимости]; Кружки с сублимационной печатью 330 мл от 10 шт [15% сделок, 3% стоимости]; Тиснение на ежедневнике бесцветное 10 шт [15% сделок, 4% стоимости]; Ежедневник недатированный А5 «Megapolis Velvet» 10 шт [15% сделок, 10% стоимости]; Ручки с печатью пластиковые от 50 шт [8% сделок, 2% стоимости]; макет ручки [8% сделок, 0% стоимости]; Кружки с сублимационной печатью 330 мл от 20 шт [8% сделок, 3% стоимости]; Ручки [8% сделок, 3% стоимости]; Ручки с печатью бумажные от 2000 шт [8% сделок, 2% стоимости]; Ручка брендированная по образцу клиента 1 оригинал-макет [8% сделок, 0% стоимости]";;;Дизайн (62%)
