TEMPLATE_BUNDLE_KEY;TEMPLATE_PRODUCT_COUNT;TEMPLATE_DEAL_COUNT;SAMPLE_TEMPLATE_TITLE;SAMPLE_TEMPLATE_PRODUCTS;EXACT_ORDER_MATCH_COUNT;CONTAINED_ORDER_MATCH_COUNT;MATCHED_ORDER_VALUE_MEDIAN;SAMPLE_ORDER_TITLE;MATCH_RATE_PER_TEMPLATE_DEAL
6288;1;2;Самоклейка интерьерная глянцевая;Винил/Баннер интерьерная печать 1 кв.м;51;491;2300.8;0388;245.5
6290;1;2;Самоклейка интерьерная глянцевая;Винил/Баннер интерьерная печать 1-3 кв.м;12;281;3767.6;0383;140.5
7258;1;2;Самоклейка бумажная 30х40 см;Печать самоклеящейся бумаги без резки лист 30х45 2-20 шт Печатная;3;257;2200.86;0401;128.5
6276;1;2;Самоклейка стандартная глянцевая;Винил стандартная печать 1 кв.м;30;248;1404.61;0419;124
7980;1;1;Баннер интерьерная печать;Баннер печать интерьерный 440гр 1-5 кв.м;17;227;4502.28;0464;227
10764;1;1;Информационный баннер;Макет баннера информационного Простой 1 решение;9;208;5298.43;1423;208
7982;1;1;Баннер интерьерная печать;Баннер печать интерьерный 440гр 5-10 кв.м;19;200;6237;0429;200
6292;1;4;Самоклейка интерьерная глянцевая;Винил/Баннер интерьерная печать 3-10 кв.м;9;189;8739.9;0306;47.25
7290;1;1;Визитка;Макет визитки Простой 1 сторона;4;158;4203.4;0438;158
7300;1;1;Листовка;Макет листовки Простой 1 сторона;4;117;5510.4;0320;117
7292;1;1;Визитка;Макет визитки Средней сложности 1 сторона;2;111;4400;0491;111
8788;1;1;Стабилизатор с установкой 1 кВт;Стабилизатор 1 кВт 1 шт Цех;1;106;87511.04;0368;106
7976;1;1;Баннер литой;Баннер печать ширка литой более 50 кв.м;2;101;65000;БББ 0116;101
7978;1;1;Баннер интерьерная печать;Баннер печать интерьерный 440гр 1 кв.м;6;96;2220.04;0454;96
6278;1;2;Самоклейка стандартная матовая;Винил стандартная печать 1-3 кв.м;11;95;3956.5;БББ 0020;47.5
21978;1;1;Аудиомонтаж;Аудиомонтаж Простой 1 час;1;92;30000;КИД-0015;92
21972;1;1;Видеомонтаж;Видеомонтаж Простой 1 час;2;91;30000;КИД-0015;91
7260;1;2;Самоклейка бумажная 30х40 см;Печать самоклеящейся бумаги без резки лист 30х45 21-60 шт Печатная;0;87;6022.16;0446;43.5
21954;1;1;Мобильная съемка;Мобильная съемка Простая 1 час;1;81;32000;КИД-0015;81
5258|5350;2;1;Визитки матовые. Оперативная полиграфия.;Визитки Печать 4+4 1-3 дня 240 Печатная | НЕВИЯ бум. визитки 250 гр. 1 шт Печатная;14;79;3006;0491;79
6288|9134;2;1;Самоклейка интерьерная с глянцевой ламинацией;Ламинация с накаткой для стандартной печати холодная глянцевая 1 кв.м | Винил/Баннер интерьерная печать 1 кв.м;3;75;4208;0388;75
12728;1;1;Рекламный баннер;Макет баннер рекламного Простой 1 решение;15;73;8530;АЛ-0354;73
7984;1;1;Баннер интерьерная печать;Баннер печать интерьерный 440гр 10-20 кв.м;6;73;10925;0580;73
6294;1;4;Самоклейка интерьерная глянцевая;Винил/Баннер интерьерная печать 10-20 кв.м;1;71;26020;0539;17.75
7956;1;1;Печать на баннере 440 гр/м2;Баннер печать стандарт 440гр 1-5 кв.м;3;64;3127.25;0375;64
10408;1;1;Отрисовка ручная эскиза логотипа;Отрисовка ручная простого эскиза логотипа 1 изображение;5;63;10680.04;0500;63
8340;1;1;Фотореле с установкой максимальная нагрузка 2,2 кВт;Установка Фотореле макс.нагрузка 2,2кВт 1 шт. Цех;0;62;97206.39;АЛ-0242;62
6280;1;4;Самоклейка стандартная матовая;Винил стандартная печать 3-10 кв.м;1;61;10012;0395;15.25
21352;1;1;Дизайн текстового баннера;Макет текстового баннера Простой 1 решение;2;61;7148.8;ДЗ-0055;61
7296;1;1;Флаер 21х10 см;Макет флаера 21х10 Средней сложности 1 сторона;3;59;8600;0437;59
12346;1;1;Дизайн транспорта;Брендирование транспорта Простое 1 оригинал-макет;15;59;19908.2;ГМ-0279;59
8970;1;2;Плакат матовый (формат);Матовый плакат 720 dpi до 1 кв.м;20;58;1815.4;0486;29
10766;1;1;Информационный баннер;Макет баннера информационного Средней сложности 1 решение;7;58;10043.48;0392;58
7302;1;1;Листовка;Макет листовки Средней сложности 1 сторона;8;54;5504.07;0549;54
7958;1;1;Печать на баннере 440 гр/м2;Баннер печать стандарт 440гр 5-10 кв.м;6;54;5550.04;0423;54
11566;1;1;Этикетка;Макет этикетки Простой 1 оригинал-макет;3;53;3801;МК-0155;53
10420;1;3;Креативная графическая идея для логотипа;Креативная графическая идея для логотипа с обоснованием 1 эскиз;0;53;20000;СГ0005;17.6667
22026;1;1;Создание анимационного ролика;Создание анимационного ролика Простой 1 мин;20;51;8000;КИД-0018;51
10852|7258;2;3;Бумажные самоклеящиеся круглые стикеры 7 см;Автоматическая контурная прорезка любой формы на листе 30х45 50-100 мп Печатная | Печать самоклеящейся бумаги без резки лист 30х45 2-20 шт Печатная;13;49;2845.6;0528;16.3333
5266|5350;2;1;Визитки матовые. Оперативная полиграфия.;Визитки Печать 4+4 1-3 дня 500 Печатная | НЕВИЯ бум. визитки 250 гр. 1 шт Печатная;11;48;3637.5;0539;48
10854|7260;2;7;Бумажные самоклеящиеся круглые стикеры 7 см;Автоматическая контурная прорезка любой формы на листе 30х45 более 100 мп Печатная | Печать самоклеящейся бумаги без резки лист 30х45 21-60 шт Печатная;14;46;7610.84;0446;6.5714
7946;1;1;Печать на баннере 240 гр/м2;Баннер печать 240гр 5-10 кв.м;5;46;8270.72;АЛ-0239;46
7952;1;1;Печать на баннере 240 гр/м2;Баннер печать 240гр более 50 кв.м;1;45;13200;0417;45
7692;1;3;Монтаж вывески сложный;Монтаж вывески сложный 3-10 кв.м Цех;0;45;72914;БББ 0059;15
7954;1;1;Печать на баннере 440 гр/м2;Баннер печать стандарт 440гр 1 кв.м;3;40;3102.3;0444;40
