GROUP_TYPE;GROUP_KEY;DEAL_COUNT;DURATION_MIN;DURATION_P25;DURATION_P50;DURATION_P75;DURATION_MAX;SAMPLE_TITLE
direction;Цех;2603;0;4;8;28;1250;"Световая вывеска ""КОФЕЙНЯ"""
direction;Дизайн;2314;0;2;7;16;820;"Разработка логотипа пакет ""Стандарт"""
direction;Печатная;4041;0;1;5;9;1040;Визитки матовые. Оперативная полиграфия.
direction;Офсет;553;0;5;7;18;59;Визитки эконом. Офсет.
direction;Сольвент;841;0;1;3;8;861;Пресс-волл 200х200 см на рейке
direction;POS;684;0;0;0;7;145;Световая панель Click односторонняя настенная
direction;Мерч;1342;0;7;7;7;34;Кружки с печатью
direction;Флаги;78;7;7;7;7;29;Флаг двусторонний 90х135 см флажная сетка
direction;РИК;2187;0;27;29;29;264;Махачкала, Гагарина 56, Брандмауэр  3х10
direction;Маркетинг;14;1;4;7;10;22;Нейминг
direction;IT;69;1;7;7;7;12;Адаптивная верстка и привязка блока хедер
direction;__MANUAL_OR_UNCATEGORIZED__;1668;0;4;13;25;807;0101
direction;Монтажники;731;0;4;8;16;374;0417
direction;Резка;7;1;3;4;7;18;БББ 0233 стенд из фанеры 15мм
direction;Безнал;170;0;5;12;23;160;ГМ-0238
direction;Материалы;3;1;2;2;7;12;МА-0515
direction;Вышка;5;0;0;2;3;90;БББ-1687
bundle;11504|8162|8166;206;0;3;7;14;374;МА-0052
bundle;13612;116;0;0;2;8;52;ГГ-0013
bundle;13614;87;0;2;5;17;546;АЛ-0638
bundle;11504|13818|8162|8166;80;0;4;9;17;128;МА-0516
bundle;6288;45;0;1;3;6;91;АЛ-0070
bundle;13616;38;0;1;4;11;137;МА-0632
bundle;21954|21972|21978;33;0;5;9;14;25;КИД-0029 (НЕДЕЛЬНЫЙ ОТЧЕТ SMM 05.02-09.02.2024)
bundle;6276;28;0;2;2;3;45;0629
bundle;13612|6288;25;1;2;3;5;59;ГМ-0054
bundle;16684|16686;25;16;27;29;29;30;БББ-0844
bundle;11500|8158|8164;26;0;4;5;9;44;БББ 0318(А)
bundle;11364;24;0;2;10;54;193;МАМ-0015
bundle;16580;25;5;28;29;29;31;БББ-1271
bundle;18226;25;19;28;29;30;34;БББ-1398
bundle;11500|11504|13818|8158|8162|8164|8166;24;3;8;11;19;30;МА-0550
bundle;6276|7352;23;0;1;3;5;6;ЗМ-00064
bundle;11500|11504|8158|8162|8164|8166;23;3;6;8;20;65;БББ 0405(А)
bundle;17160;23;3;22;27;29;61;БББ-1388
bundle;11502|11504|8160|8162|8166;22;4;9;13;21;39;БББ 0398
bundle;13460|6362;22;1;5;10;18;75;МА-0290
bundle;7352;20;0;2;4;8;55;ЗМ-0051 большой баннер
bundle;16252;21;16;29;29;30;34;БББ-1701
bundle;8970;18;0;0;1;4;63;0486
bundle;17642|17644;20;0;27;28;29;30;МА-0594
bundle;22026;17;0;2;2;14;23;КИД-0018
bundle;10064;18;1;18;27;29;30;МА-1167
bundle;16664;20;15;28;29;31;40;МА-1184
bundle;manual:работа с дизайнером;19;0;0;0;2;199;0398
bundle;7982;19;1;3;3;7;18;0436
bundle;19994;19;26;29;29;29;30;БББ-0858
bundle;16836|16882|16884;19;26;29;29;29;34;БББ-1028
bundle;10154;19;2;29;29;31;33;БББ-2077
bundle;10854|7262;16;1;2;5;9;16;АЛ-0254
