PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;CURRENT_BASE_PRICE;OFFER_ROWS;ORDER_ROWS;UTILIZATION_STATUS
10426;Отрисовка ручная сложного орнамента 1 векторное изображение;Дизайн;12000;1;0;offers_only
10460;А4 Ризограф 80 гр/м 1+0 200-499;Офсет;3.2;7;0;offers_only
10644;Таблички Демонтаж дистанционный держатель хромированный за 1 держатель 10-30 шт Цех;Цех;196;1;0;offers_only
10736;Фотосъемка архитектурная +цветокоррекция+ретуширование 5 ракурсов до 30 снимков;Дизайн;3000;1;0;offers_only
10738;Фотосъемка пейзажная +цветокоррекция+ретуширование 5 ракурсов до 30 снимков;Дизайн;4000;1;0;offers_only
10741;Фотосъемка модельная +цветокоррекция+ретуширование 5 портретов до 30 снимков;Дизайн;5000;1;0;offers_only
10860;Макет плаката информационного Сложный 1 решение;Дизайн;8000;1;0;offers_only
10862;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная А0;POS;3638.4;1;0;offers_only
10864;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная А1;POS;2312;1;0;offers_only
10866;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная А2;POS;1900.8;1;0;offers_only
10868;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная А3;POS;1312;1;0;offers_only
10870;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная А4;POS;924.8;1;0;offers_only
10872;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная 300х400;POS;1294.4;1;0;offers_only
10874;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная 400х600;POS;1707.2;1;0;offers_only
10876;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная 500х700;POS;2025.6;1;0;offers_only
10878;Рамка Клик ПК-25 односторонняя с глянцевым углом настенная цветная 700х1000;POS;3118.4;1;0;offers_only
10880;Рамка Клик ПК-25 односторонняя настенная цветная А0;POS;3638.4;1;0;offers_only
10884;Рамка Клик ПК-25 односторонняя настенная цветная А2;POS;1900.8;2;0;offers_only
10888;Рамка Клик ПК-25 односторонняя настенная цветная А4;POS;924.8;2;0;offers_only
10890;Рамка Клик ПК-25 односторонняя настенная цветная 300х400;POS;1294.4;1;0;offers_only
10892;Рамка Клик ПК-25 односторонняя настенная цветная 400х600;POS;1707.2;1;0;offers_only
10894;Рамка Клик ПК-25 односторонняя настенная цветная 500х700;POS;2025.6;1;0;offers_only
10896;Рамка Клик ПК-25 односторонняя настенная цветная 700х1000;POS;3118.4;1;0;offers_only
10898;Рамка Клик ПК-30 односторонняя настенная цветная А0;POS;3756.8;1;0;offers_only
10900;Рамка Клик ПК-30 односторонняя настенная цветная А1;POS;2395.2;1;0;offers_only
10902;Рамка Клик ПК-30 односторонняя настенная цветная А2;POS;1790.4;1;0;offers_only
10904;Рамка Клик ПК-30 односторонняя настенная цветная А3;POS;1345.6;1;0;offers_only
10906;Рамка Клик ПК-30 односторонняя настенная цветная А4;POS;942.4;1;0;offers_only
10908;Рамка Клик ПК-30 односторонняя настенная цветная 500х700;POS;2092.8;1;0;offers_only
10910;Рамка Клик ПК-30 односторонняя настенная цветная 700х1000;POS;3235.2;1;0;offers_only
10912;Рамка Клик ПК-25 двусторонняя для подвеса цветная А0;POS;7436.8;1;0;offers_only
10914;Рамка Клик ПК-25 двусторонняя для подвеса цветная А1;POS;4697.6;1;0;offers_only
10916;Рамка Клик ПК-25 двусторонняя для подвеса цветная А2;POS;3683.2;1;0;offers_only
10918;Рамка Клик ПК-25 двусторонняя для подвеса цветная А3;POS;2689.6;1;0;offers_only
10920;Рамка Клик ПК-25 двусторонняя для подвеса цветная А4;POS;2067.2;1;0;offers_only
10946;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная А0;POS;3712;1;0;offers_only
10950;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная А2;POS;1984;1;0;offers_only
10952;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная А3;POS;1632;1;0;offers_only
10954;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная А4;POS;1344;1;0;offers_only
10956;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная 300х400;POS;1616;1;0;offers_only
10958;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная 400х600;POS;1936;1;0;offers_only
10960;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная 500х700;POS;2416;1;0;offers_only
10962;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене цветная 700х1000;POS;3392;1;0;offers_only
10982;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене матовое серебро А0;POS;3504;1;0;offers_only
10984;Рамка алюминиевая Nielsen 02 односторонняя для крепления к стене матовое серебро А1;POS;2352;1;0;offers_only
