DATASET;CLOSE_MONTH;PRIMARY_DIRECTION;DEAL_COUNT;TOTAL_VALUE;MEDIAN_DEAL_VALUE;AVG_DEAL_VALUE
orders;2021-04;Печатная;45;187433.52;2250;4165.19
orders;2021-04;__MANUAL_OR_UNCATEGORIZED__;46;1286128.21;7025.11;27959.31
orders;2021-04;Цех;20;405321.77;15619.26;20266.09
orders;2021-04;Сольвент;20;108325.99;2050.22;5416.3
orders;2021-04;Дизайн;3;12300;2000;4100
orders;2021-04;Монтажники;3;73793.08;22800.04;24597.69
orders;2021-05;__MANUAL_OR_UNCATEGORIZED__;28;934881.06;9001.51;33388.61
orders;2021-05;__MISSING_DIRECTION__;1;1750;1750;1750
orders;2021-05;Дизайн;8;94200.23;10000;11775.03
orders;2021-05;Цех;20;219245.03;3831.95;10962.25
orders;2021-05;Печатная;50;220048.57;1451.84;4400.97
orders;2021-05;Офсет;1;6000;6000;6000
orders;2021-05;Сольвент;8;53361.31;2054.05;6670.16
orders;2021-05;POS;1;10201.5;10201.5;10201.5
orders;2021-05;Монтажники;1;5564;5564;5564
orders;2021-06;Печатная;45;144898.93;2000;3219.98
orders;2021-06;Дизайн;7;24503.8;2003.8;3500.54
orders;2021-06;Цех;25;513924.83;6900;20556.99
orders;2021-06;__MANUAL_OR_UNCATEGORIZED__;41;957580.16;8000;23355.61
orders;2021-06;Сольвент;13;42082.84;1013;3237.14
orders;2021-06;Монтажники;5;95074.64;10000;19014.93
orders;2021-07;__MANUAL_OR_UNCATEGORIZED__;39;838290.31;8219;21494.62
orders;2021-07;Печатная;41;211148.24;2401.43;5149.96
orders;2021-07;Цех;24;257999.78;2491.05;10749.99
orders;2021-07;Дизайн;2;20000;10000;10000
orders;2021-07;Сольвент;21;104170;2763.6;4960.48
orders;2021-07;Монтажники;2;46714.24;23357.12;23357.12
orders;2021-07;Мерч;1;4325;4325;4325
orders;2021-08;__MANUAL_OR_UNCATEGORIZED__;34;882686.04;10563;25961.35
orders;2021-08;Цех;15;577453.9;11560.07;38496.93
orders;2021-08;Дизайн;13;61321.3;2042;4717.02
orders;2021-08;Печатная;35;158850.87;3020;4538.6
orders;2021-08;Сольвент;9;23125.2;2000;2569.47
orders;2021-08;Монтажники;3;42702;6160;14234
orders;2021-08;Маркетинг;1;5000;5000;5000
orders;2021-09;__MANUAL_OR_UNCATEGORIZED__;40;945559.02;9250;23638.98
orders;2021-09;Цех;14;256379.55;7749.68;18312.83
orders;2021-09;Печатная;51;213195.77;2000;4180.31
orders;2021-09;Дизайн;11;91385.84;5000;8307.8
orders;2021-09;Сольвент;8;18464.72;2141.36;2308.09
orders;2021-09;Монтажники;1;30286;30286;30286
orders;2021-10;Печатная;37;95226.28;2453.92;2573.68
orders;2021-10;Цех;14;342476.78;12135;24462.63
orders;2021-10;Сольвент;5;29459.61;2500.01;5891.92
orders;2021-10;Дизайн;6;64867.2;7700;10811.2
orders;2021-10;__MANUAL_OR_UNCATEGORIZED__;37;1052135.81;13000;28436.1
orders;2021-10;Монтажники;5;72166.8;13170;14433.36
orders;2021-10;РИК;1;15000;15000;15000
orders;2021-11;Цех;26;450903.2;7600;17342.43
orders;2021-11;Печатная;56;506200.41;2023.01;9039.29
orders;2021-11;Дизайн;6;56943.6;8424;9490.6
orders;2021-11;__MANUAL_OR_UNCATEGORIZED__;48;1288860.04;12500;26851.25
orders;2021-11;IT;1;20000;20000;20000
orders;2021-11;Монтажники;7;84262;5406;12037.43
orders;2021-11;Сольвент;7;13670.63;1200;1952.95
offers;2021-12;Цех;8;213165.23;25371.76;26645.65
orders;2021-12;__MANUAL_OR_UNCATEGORIZED__;46;1285849.72;11250;27953.25
orders;2021-12;Монтажники;5;79538;16800;15907.6
orders;2021-12;Печатная;47;111216.58;1552;2366.31
orders;2021-12;Цех;18;105450.67;4660.5;5858.37
orders;2021-12;Сольвент;11;27497.91;1366.9;2499.81
orders;2021-12;Офсет;1;27600;27600;27600
orders;2021-12;Резка;1;3380;3380;3380
orders;2022-01;Печатная;40;159659.4;3020;3991.48
orders;2022-01;Дизайн;6;58900.96;10000.48;9816.83
orders;2022-01;Цех;19;425277.89;3153.28;22383.05
orders;2022-01;__MANUAL_OR_UNCATEGORIZED__;47;1079383.04;6765;22965.6
orders;2022-01;Сольвент;6;26699.4;2773.2;4449.9
orders;2022-01;POS;2;46728;23364;23364
orders;2022-01;Монтажники;1;5714;5714;5714
orders;2022-02;Дизайн;5;76362.8;15000;15272.56
orders;2022-02;Цех;22;373625.61;7505.4;16982.98
orders;2022-02;__MANUAL_OR_UNCATEGORIZED__;48;1193609.5;11822.88;24866.86
orders;2022-02;Печатная;44;223729.66;2486.62;5084.77
orders;2022-02;Сольвент;4;19488.4;5431.2;4872.1
orders;2022-02;Монтажники;2;16142;8071;8071
orders;2022-02;Мерч;1;12800;12800;12800
orders;2022-03;Печатная;42;333098.47;4125.28;7930.92
orders;2022-03;__MANUAL_OR_UNCATEGORIZED__;44;1113418.01;13500;25304.95
orders;2022-03;Цех;18;229917.8;4930.9;12773.21
orders;2022-03;Дизайн;11;196097.8;11000;17827.07
orders;2022-03;Монтажники;5;110166;19500;22033.2
orders;2022-03;Сольвент;5;31488.04;2001.44;6297.61
offers;2022-04;Цех;2;60257.89;30128.94;30128.94
offers;2022-04;Дизайн;28;718000;12500;25642.86
offers;2022-04;Печатная;314;8623420.7;16050;27463.12
offers;2022-04;Офсет;35;1017170;15400;29062
orders;2022-04;__MANUAL_OR_UNCATEGORIZED__;59;1315961.25;9680;22304.43
orders;2022-04;Цех;22;377674.52;4636;17167.02
orders;2022-04;Печатная;34;267408.25;4135.83;7864.95
orders;2022-04;Сольвент;10;143804.93;8495.59;14380.49
orders;2022-04;Дизайн;12;142669;7250;11889.08
orders;2022-04;Мерч;1;7000;7000;7000
orders;2022-04;Монтажники;9;81920;6600;9102.22
orders;2022-04;Маркетинг;1;5001;5001;5001
orders;2022-04;Резка;1;2010.75;2010.75;2010.75
offers;2022-05;Печатная;93;1074630.4;7446;11555.17
offers;2022-05;Цех;26;790779.21;30624.38;30414.58
offers;2022-05;Офсет;78;1720280;16450;22054.87
orders;2022-05;__MANUAL_OR_UNCATEGORIZED__;65;1889006.73;15000;29061.64
orders;2022-05;Цех;20;356691.97;12374;17834.6
orders;2022-05;Печатная;37;234045.22;2579.38;6325.55
orders;2022-05;Дизайн;5;152740.41;30100;30548.08
orders;2022-05;Монтажники;8;54920;6000;6865
orders;2022-05;Сольвент;2;7317;3658.5;3658.5
offers;2022-06;Цех;63;2999841.2;46480.41;47616.53
orders;2022-06;Цех;27;514714.14;6507;19063.49
orders;2022-06;__MANUAL_OR_UNCATEGORIZED__;69;1545991.53;12500;22405.67
orders;2022-06;Печатная;39;238245.6;3010;6108.86
orders;2022-06;Монтажники;14;152380;6710;10884.29
orders;2022-06;Сольвент;11;83440.82;3700.8;7585.53
orders;2022-06;Дизайн;2;13800;6900;6900
orders;2022-06;POS;1;10710;10710;10710
offers;2022-07;Цех;76;931272.86;6365.6;12253.59
offers;2022-07;Печатная;412;4254503.48;6457.2;10326.46
offers;2022-07;Сольвент;90;1160172.25;12920;12890.8
offers;2022-07;POS;188;2836330;6582.2;15086.86
offers;2022-07;Дизайн;163;819200;4000;5025.77
offers;2022-07;Офсет;96;5502451;30100;57317.2
orders;2022-07;Цех;13;730558.34;5180;56196.8
orders;2022-07;Сольвент;14;81857.71;3258.75;5846.98
orders;2022-07;Печатная;68;382770.74;2848.7;5628.98
orders;2022-07;Дизайн;19;139523.2;4200;7343.33
orders;2022-07;__MANUAL_OR_UNCATEGORIZED__;70;1763820.8;13832.5;25197.44
orders;2022-07;Монтажники;7;99620;11200;14231.43
offers;2022-08;Печатная;82;1269034.85;8100.4;15476.03
offers;2022-08;Сольвент;135;3411234;11340;25268.4
offers;2022-08;Цех;35;3650460.55;63725.93;104298.87
