PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;ORDER_ROWS;PRICE_MODE;CONFIDENCE_TIER;PRICE_RATIO_RANGE;CURRENT_BASE_PRICE;ORDER_PRICE_P50;MANUAL_REVIEW_REASON
21954;Мобильная съемка Простая 1 час;Дизайн;82;auto;high;0;2000;2000;
22026;Создание анимационного ролика Простой 1 мин;Дизайн;52;auto;high;0;4000;4000;
21208;Адаптация слайда презентации простая 1 слайд;Дизайн;47;auto;high;0;500;500;
17592;Махачкала Ярагского 47 Остановка Ирчи Казака Сторона А1 42.96646, 47.50289;РИК;38;auto;high;0;5000;5000;
17608;Махачкала Ярагского 47 Остановка Ирчи Казака Сторона Б1 42.96646, 47.50289;РИК;38;auto;high;0;5000;5000;
21358;Макет баннера 4х3 Простой 1 решение;Дизайн;36;auto;high;0;2000;2000;
7270;Ручная резка стикеров на гильотине только квадратные и прямоугольные до 1 мп Печатная;Печатная;31;auto;high;0;20;20;
20260;"Махачкала Гамидова 18Р ТЦ ""Гамма"" Сторона А 42.96238, 47.51299";РИК;29;guided;medium;0;6000;6000;requires_context_lookup
20262;"Махачкала Гамидова 18Р ТЦ ""Гамма"" Сторона Б 42.96238, 47.51299";РИК;29;guided;medium;0;6000;6000;requires_context_lookup
21190;Макет слайда презентации со статьей простой 1 слайд;Дизайн;21;guided;medium;0;1500;1500;requires_context_lookup
23194;Махачкала Амет-Хана Султана 354 Кольцо Сторона Б 42.90372, 47.51954;РИК;20;guided;medium;0;18000;18000;requires_context_lookup
22010;Написание сценария для видеоролика от 10 сек до 300 секунд 1 идея;Дизайн;19;guided;medium;0;3000;3000;requires_context_lookup
10160;Махачкала Акушинского 8/1 Миркато Сторона Б2 42.98315, 47.46829;РИК;18;guided;medium;0;40000;40000;requires_context_lookup
12316;Макет блокнота брендированного Простой 1 оригинал-макет;Дизайн;17;guided;medium;0;1000;1000;requires_context_lookup
13892;Леса строительные Цех;Цех;16;guided;medium;0;200;120;requires_context_lookup
21952;Подготовка к производству вывески Сложная;Дизайн;16;guided;medium;0;3000;5000;requires_context_lookup
13896;Суточные 1 монтажник Цех;Цех;15;guided;medium;0;800;700;requires_context_lookup
21500;Сольвентная печать на бумаге 140 гр более 50 кв.м;Сольвент;15;guided;medium;0;195;195;requires_context_lookup
21960;Полноформатная съемка Простая 1 час;Дизайн;15;guided;medium;0;2500;2500;requires_context_lookup
11306;Текст для поста;Маркетинг;14;guided;medium;0;1000;1000;requires_context_lookup
12284;Макет футболки брендированной по образцу клиента 1 оригинал-макет;Дизайн;14;guided;medium;0;2000;1000;requires_context_lookup
12304;Макет бейджа Средней сложности 1 оригинал-макет;Дизайн;14;guided;medium;0;1000;1000;requires_context_lookup
16362;Махачкала Имама Шамиля 55 Напротив парка Сторона Б 42.96062, 47.50389;РИК;14;guided;medium;0;22000;22000;requires_context_lookup
21204;Макет обложки презентации средней сложности 1 слайд;Дизайн;14;guided;medium;0;2000;2000;requires_context_lookup
21240;Махачкала Имама Шамиля 57 первый Парк 50 лет октября Сторона 1 42.9604, 47.50433;РИК;14;guided;medium;0;28750;28750;requires_context_lookup
21242;Махачкала Имама Шамиля 57 второй Парк 50 лет октября Сторона 2 42.95953, 47.50549;РИК;14;guided;medium;0;28750;28750;requires_context_lookup
21402;Макет поста для социальных сетей Средней сложности 1 решение;Дизайн;14;guided;medium;0;2500;2500;requires_context_lookup
23086;Махачкала Амет-хана султана 338 Империя окон Сторона Б 42.91281, 47.52132;РИК;14;guided;medium;0;18000;18000;requires_context_lookup
24006;Махачкала Акушинского 129 сторона А1 42.97701, 47.44222;РИК;14;guided;medium;0;22000;22000;requires_context_lookup
24034;Каспийск Ленина 20 второй Следственный отдел сторона А 42.8882, 47.64101;РИК;14;guided;medium;0;22500;22500;requires_context_lookup
24036;Каспийск Ленина 20 второй Следственный отдел сторона Б 42.8882, 47.64101;РИК;14;guided;medium;0;22500;22500;requires_context_lookup
15968;Махачкала Гамидова 67 Ленинская Администрация Сторона Б 42.95571, 47.50766;РИК;13;guided;medium;0;16500;17600;requires_context_lookup
17296;Махачкала Ярагского 57 ДГПУ Сторона А1 42.97119, 47.50786;РИК;13;guided;medium;0;18000;18000;requires_context_lookup
22502;Подбор модели 3D Сложная;Дизайн;13;guided;medium;0;1500;1500;requires_context_lookup
23850;Махачкала Имама Шамиля 97 второй Восточный рынок Сторона Б 42.95254, 47.5198;РИК;13;guided;medium;0;28000;28000;requires_context_lookup
7362;Макет плаката имиджевого Простой 1 решение;Дизайн;13;guided;medium;0;3000;2000;requires_context_lookup
12310;Макет пакета брендированного Простой 1 оригинал-макет;Дизайн;12;guided;medium;0;1000;1000;requires_context_lookup
21214;Махачкала Магомеда Гаджиева 12А Дзержинского Сторона А 42.98341, 47.5009;РИК;12;guided;medium;0;30000;30000;requires_context_lookup
10184;Махачкала Амет-Хана Султана Надежная крыша Сторона Б 42.90461, 47.51995;РИК;11;guided;medium;0;14300;14300;requires_context_lookup
10406;Создание мокапа имитация 3D визуализации 1 поверхность;Дизайн;11;guided;medium;0;5000;2500;requires_context_lookup
11550;Ручная отрисовка с доработкой орнамента средней сложности 1 векторное изображение;Дизайн;11;guided;medium;0;10000;5000;requires_context_lookup
18576;Каспийск Приморская 13А Сторона Б 42.87211, 47.65676;РИК;11;guided;medium;0;16500;17600;requires_context_lookup
11334;Выезд Буйнакск 50 км 1,0 ч Цех;Цех;10;guided;medium;0;3000;2500;requires_context_lookup
16870;Махачкала Насрутдинова 240 Сторона А 42.91877, 47.60253;РИК;10;guided;medium;0;16500;17600;requires_context_lookup
16872;Махачкала Насрутдинова 240 Сторона Б 42.91877, 47.60253;РИК;10;guided;medium;0;16500;17600;requires_context_lookup
16958;Махачкала Петра первого 101 Фаршер Сторона А 42.96397, 47.54611;РИК;10;guided;medium;0;18000;18000;requires_context_lookup
21360;Макет баннера 4х3 Средней сложности 1 решение;Дизайн;10;guided;medium;0;4000;4000;requires_context_lookup
22012;Написание сценария для видеоролика от 1 минуты до 1 часа 1 идея;Дизайн;10;guided;medium;0;5000;5000;requires_context_lookup
24976;Махачкала-Хасавюрт Хасавюртовское шоссе 25 сторона А 43.00622, 47.32212;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
24978;Махачкала-Хасавюрт Хасавюртовское шоссе 25 сторона Б 43.00622, 47.32212;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
24988;Кизляр Южная сторона А 43.82564, 46.6964;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
24994;Кизляр Гамидова 5 сторона Б 43.83713, 46.73259;РИК;10;guided;medium;0;10000;10000;requires_context_lookup
25800;Махачкала Расула Гамзатова 91 первый сторона А 42.97812, 47.51481;РИК;10;guided;medium;0;16500;16500;requires_context_lookup
10182;Махачкала Амет-Хана Султана Надежная крыша Сторона А 42.90461, 47.51995;РИК;9;manual;low;0;14300;14300;insufficient_history
10256;"Махачкала Амет-Хана Султана 31 Магазин мебели ""Арредо"" Сторона Б 42.94449, 47.50888";РИК;9;manual;low;0;16500;16500;insufficient_history
11190;Макет иконки Простой 1 решение;Дизайн;9;manual;low;0;2000;1000;insufficient_history
11304;Рерайт текста;Маркетинг;9;manual;low;0;500;500;insufficient_history
11346;Выезд Кизилюрт 70 км 1,2 ч Цех;Цех;9;manual;low;0;4000;3000;insufficient_history
12402;Макет кружки брендированной Простая 1 оригинал-макет;Дизайн;9;manual;low;0;2000;500;insufficient_history
16198;"Махачкала Имама Шамиля 24Г ТД ""Шафран"" Сторона А 42.97721, 47.47987";РИК;9;manual;low;0;17600;17600;insufficient_history
16656;Махачкала Каммаева 68 Стройбаза Сторона А 43.01595, 47.44798;РИК;9;manual;low;0;20000;20000;insufficient_history
16846;Махачкала Насрутдинова 19 Клиника Азизова Сторона А 42.95424, 47.55951;РИК;9;manual;low;0;17600;17600;insufficient_history
16906;Махачкала Насрутдинова 58 Апельсин Сторона А 42.95125, 47.56365;РИК;9;manual;low;0;17600;17600;insufficient_history
21186;Макет слайда презентации с изображением средней сложности 1 слайд;Дизайн;9;manual;low;0;2000;2000;insufficient_history
21410;Макет баннера для соц сетей Средней сложности 1 решение;Дизайн;9;manual;low;0;3000;3000;insufficient_history
23986;Махачкала Казбекова 381 Техцентр Гранд сторона А 43.02739, 47.43848;РИК;9;manual;low;0;15000;15000;insufficient_history
23988;Махачкала Казбекова 381 Техцентр Гранд сторона Б 43.02739, 47.43848;РИК;9;manual;low;0;15000;15000;insufficient_history
7920;Фольгирование Бумаги Тачкавер А4 от 100 шт 1 шт Печатная;Печатная;9;manual;low;0;120;80;insufficient_history
10340;Махачкала Гагарина 29 Цвточные магазины Сторона Б 42.9553, 47.50582;РИК;8;manual;low;0;17600;17600;insufficient_history
10418;Заполнение брифа для разработки логотипа 1 интервью;Дизайн;8;manual;low;0;5000;2000;insufficient_history
11546;Логобук индивидуальный 10 слайдов;Дизайн;8;manual;low;0;25000;15000;insufficient_history
15776;Махачкала Гагарина 54 первый Парк Сторона Б 42.95746, 47.50035;РИК;8;manual;low;0;17600;17600;insufficient_history
15896;"Махачкала Гамидова 47С рынок ""Ирчи Казака"" Сторона Б 42.96192, 47.51298";РИК;8;manual;low;0;17600;17600;insufficient_history
16286;Махачкала Имама Шамиля 40/1 Цветочный рынок Сторона А3 42.97444, 47.48417;РИК;8;manual;low;0;22000;17600;insufficient_history
16424;Махачкала Имама Шамиля 75 Флайстудио Сторона А 42.95614, 47.51107;РИК;8;manual;low;0;18000;17600;insufficient_history
16650;Махачкала Каммаева 2В АЗС Белнефть Сторона Б 43.00215, 47.45688;РИК;8;manual;low;0;17600;17600;insufficient_history
16716;Махачкала Магомеда Гаджиева 52 Поворот на Радищева Сторона А2 42.98543, 47.49595;РИК;8;manual;low;0;7000;7000;insufficient_history
16722;Махачкала Магомеда Гаджиева 52 Поворот на Радищева Сторона А1 42.98542, 47.49597;РИК;8;manual;low;0;7000;7000;insufficient_history
17586;Махачкала Ярагского 98/3 Стадион Е.Исинбаевой Сторона Б 42.96473, 47.49997;РИК;8;manual;low;0;17600;5000;insufficient_history
18600;Каспийск Приморская 16 Сторона Б 42.87035, 47.66217;РИК;8;manual;low;0;17600;17600;insufficient_history
20044;Избербаш Лермонтова 1 Магнит Сторона Б 42.5771, 47.86453;РИК;8;manual;low;0;17600;17600;insufficient_history
24244;Визитки Ламинация матовая 32мкр 240 Печатная;Печатная;8;manual;low;0;4.44;4.44;insufficient_history
