TEMPLATE_BUNDLE_KEY;TEMPLATE_PRODUCT_COUNT;TEMPLATE_DEAL_COUNT;EXACT_ORDER_MATCH_COUNT;CONTAINED_ORDER_MATCH_COUNT;MATCH_RATE_PER_TEMPLATE_DEAL;SAMPLE_TEMPLATE_TITLE;SAMPLE_ORDER_TITLE
6288;1;2;51;491;245.5;Самоклейка интерьерная глянцевая;0388
6290;1;2;12;281;140.5;Самоклейка интерьерная глянцевая;0383
7258;1;2;3;257;128.5;Самоклейка бумажная 30х40 см;0401
6276;1;2;30;248;124;Самоклейка стандартная глянцевая;0419
7980;1;1;17;227;227;Баннер интерьерная печать;0464
10764;1;1;9;208;208;Информационный баннер;1423
7982;1;1;19;200;200;Баннер интерьерная печать;0429
6292;1;4;9;189;47.25;Самоклейка интерьерная глянцевая;0306
7290;1;1;4;158;158;Визитка;0438
7300;1;1;4;117;117;Листовка;0320
7292;1;1;2;111;111;Визитка;0491
8788;1;1;1;106;106;Стабилизатор с установкой 1 кВт;0368
7976;1;1;2;101;101;Баннер литой;БББ 0116
7978;1;1;6;96;96;Баннер интерьерная печать;0454
6278;1;2;11;95;47.5;Самоклейка стандартная матовая;БББ 0020
21978;1;1;1;92;92;Аудиомонтаж;КИД-0015
21972;1;1;2;91;91;Видеомонтаж;КИД-0015
7260;1;2;0;87;43.5;Самоклейка бумажная 30х40 см;0446
21954;1;1;1;81;81;Мобильная съемка;КИД-0015
5258|5350;2;1;14;79;79;Визитки матовые. Оперативная полиграфия.;0491
6288|9134;2;1;3;75;75;Самоклейка интерьерная с глянцевой ламинацией;0388
12728;1;1;15;73;73;Рекламный баннер;АЛ-0354
7984;1;1;6;73;73;Баннер интерьерная печать;0580
6294;1;4;1;71;17.75;Самоклейка интерьерная глянцевая;0539
7956;1;1;3;64;64;Печать на баннере 440 гр/м2;0375
10408;1;1;5;63;63;Отрисовка ручная эскиза логотипа;0500
8340;1;1;0;62;62;Фотореле с установкой максимальная нагрузка 2,2 кВт;АЛ-0242
6280;1;4;1;61;15.25;Самоклейка стандартная матовая;0395
21352;1;1;2;61;61;Дизайн текстового баннера;ДЗ-0055
7296;1;1;3;59;59;Флаер 21х10 см;0437
12346;1;1;15;59;59;Дизайн транспорта;ГМ-0279
8970;1;2;20;58;29;Плакат матовый (формат);0486
10766;1;1;7;58;58;Информационный баннер;0392
7302;1;1;8;54;54;Листовка;0549
7958;1;1;6;54;54;Печать на баннере 440 гр/м2;0423
11566;1;1;3;53;53;Этикетка;МК-0155
10420;1;3;0;53;17.6667;Креативная графическая идея для логотипа;СГ0005
22026;1;1;20;51;51;Создание анимационного ролика;КИД-0018
10852|7258;2;3;13;49;16.3333;Бумажные самоклеящиеся круглые стикеры 7 см;0528
5266|5350;2;1;11;48;48;Визитки матовые. Оперативная полиграфия.;0539
10854|7260;2;7;14;46;6.5714;Бумажные самоклеящиеся круглые стикеры 7 см;0446
7946;1;1;5;46;46;Печать на баннере 240 гр/м2;АЛ-0239
7952;1;1;1;45;45;Печать на баннере 240 гр/м2;0417
7692;1;3;0;45;15;Монтаж вывески сложный;БББ 0059
7954;1;1;3;40;40;Печать на баннере 440 гр/м2;0444
21974;1;1;1;40;40;Видеомонтаж;КИД-0017
21406;1;1;8;39;39;Дизайн поста для социальных сетей;ГГ-0075
7688;1;1;0;38;38;Монтаж вывески сложный;БББ 0019 Низам Август
8972;1;2;7;37;18.5;Плакат матовый (формат);0305
21980;1;1;4;37;37;Аудиомонтаж;КИД-0036
6292|9138;2;2;2;36;18;Самоклейка интерьерная с глянцевой ламинацией;МК-0131
21358;1;2;5;36;18;Дизайн баннера 4х3;БББ-1184(А)
11194;1;1;3;35;35;Подбор иллюстрации;МА-0229
6288|6324;2;1;2;35;35;Оклейка транспорта самоклейка без ламинации ровная поверхность;0388
9000;1;1;4;34;34;Холст лакированный;0381
12354;1;1;5;33;33;Брендирование транспорта;МК-0301
10732;1;1;4;33;33;Фотосъемка предметная;МА-0248
10722;1;1;4;33;33;Отрисовка ручная с доработкой эскиза логотипа;СГ0009
7690;1;1;0;33;33;Монтаж вывески сложный;0305
21202;1;1;0;32;32;Дизайн обложки презентации;ЮД-0470
10854|7262;2;2;18;31;15.5;Бумажные самоклеящиеся круглые стикеры 7 см;АЛ-0254
10854|7258;2;3;6;31;10.3333;Бумажные самоклеящиеся круглые стикеры 7 см;АЛ-0129 (а)
4514|7904;2;2;2;31;15.5;Меню А4 одностраничное DNS;0385
