PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;SECTION_NAME;PARENT_SECTION;COST_PRICE;MARKUP_RATIO;PRICE_MODE;CONFIDENCE_TIER;ORDER_ROWS;OFFER_ROWS;CURRENT_BASE_PRICE;RECOMMENDED_PRICE;SUGGESTED_MIN_PRICE;SUGGESTED_MAX_PRICE;OFFER_QTY_LADDER;MANUAL_REVIEW_REASON;NEAREST_ANALOG_1;NEAREST_ANALOG_2;NEAREST_ANALOG_3
13612;13612;Почасовая работа с дизайнером - художником 1 час;Дизайн;Почасовая работа;Дизайн;500;2;manual;low;1091;8;1000;;;;1;high_price_variance;13612:Почасовая работа с дизайнером - художником 1 час;;
13818;13818;Безнал 10%;Безнал;;;60;1.67;manual;low;921;0;100;;;;;financial_modifier;;;
13614;13614;Почасовая работа с дизайнером рекламы 1 час;Дизайн;Почасовая работа;Дизайн;1000;1.5;manual;low;723;0;2000;;;;;high_price_variance;13614:Почасовая работа с дизайнером рекламы 1 час;;
8162;8162;Баннер на билборд 6х3 монтаж 18 кв.м;Монтажники;Щит;Баннер;1600;1.06;manual;low;692;0;2080;;;;;high_price_variance;8162:Баннер на билборд 6х3 монтаж 18 кв.м;;
7352;7352;Подготовка макета к производству за 1 макет;Дизайн;Дизайн;;250;2;manual;low;691;0;500;;;;;high_price_variance;7352:Подготовка макета к производству за 1 макет;;
8166;8166;Баннер на билборд 6х3 демонтаж 18 кв.м;Монтажники;Щит;Баннер;500;1.3;manual;low;666;0;650;;;;;high_price_variance;8166:Баннер на билборд 6х3 демонтаж 18 кв.м;;
11504;11504;Баннер на билборд 6х3 печать 18 кв.м;Сольвент;Билборд;Баннер;2400;1.25;manual;low;663;0;3120;;;;;high_price_variance;11504:Баннер на билборд 6х3 печать 18 кв.м;;
6288;6288;Винил/Баннер интерьерная печать 1 кв.м;Сольвент;Сольвент;Самоклейка;550;1.21;manual;low;498;98;990;;;;1|1.5|2.5;high_price_variance;6288:Винил/Баннер интерьерная печать 1 кв.м;;
8608;8608;Оракал 641 цветная до 1 кв.м;Цех;Оракал 641 цветная;Пленки;400;1.8;manual;low;374;92;720;;;;0.06|0.068|0.08|0.1|0.12|0.13|0.135|0.14;high_price_variance;8608:Оракал 641 цветная до 1 кв.м;;
5350;5350;НЕВИЯ бум. визитки 250 гр. 1 шт Печатная;Печатная;Бумага;Визитки;0.49;2.08;manual;low;337;12;0.73;;;;240|500|1000|2000;high_price_variance;5350:НЕВИЯ бум. визитки 250 гр. 1 шт Печатная;;
